"order_date","order_id","item_id","product_name","category","product_price","cogs","quantity","total_price","locations"
"2023-06-01","ORD-SB-004","SB-GRO004","Pocky Biskuit Stik Almond 36 gram","Snacks & Drinks","7700","6678",1,"7700","Jakarta"
"2023-06-01","ORD-SB-004","SB-GRO006","Monde Genji Strawberry Soft Pie 85gr","Snacks & Drinks","8700","7512",2,"17400","Jakarta"
"2023-06-01","ORD-SB-004","SB-GRO0024","MUNIK Bumbu Tom Yam Bumbu Masak Instan [130 gr]","Condiments","66700","47610",1,"66700","Jakarta"
"2023-06-01","ORD-SB-004","SB-FRZ00136","Glico Wings Ice Cream Frost Bite Coconut Shake 60mL","Ice Cream","5200","4000",1,"5200","Jakarta"
"2023-06-01","ORD-SB-004","SB-GRO0034","Indomie Japanese Miso Ramen","Dry Food","6300","5412",2,"12600","Jakarta"
"2023-06-01","ORD-SB-005","SB-GRO005","Monde Serena Snack Gold 50gr","Snacks & Drinks","4000","3475",2,"8000","Bali"
"2023-06-01","ORD-SB-005","SB-GRO0059","Francis Organic Kacang Almond Panggang 31 gram","Snacks & Drinks","14200","12300",1,"14200","Bali"
"2023-06-01","ORD-SB-005","SB-GRO0027","LEE KUM KEE Soy Sauce Dark Premium Kecap Hitam 500 ml","Condiments","60400","43124",1,"60400","Bali"
"2023-06-01","ORD-SB-005","SB-FRZ00137","Wall's Cornetto Ice Cream PopCornetto 133mL","Ice Cream","16300","12500",2,"32600","Bali"
"2023-06-01","ORD-SB-005","SB-FRS0093","Telur Ayam Negeri Omega 3 15 pcs","Eggs & Dairy Products","35900","27612",2,"71800","Bali"
"2023-06-01","ORD-SB-005","SB-FRS00101","Emina Keju Mozzarella 160 gram","Eggs & Dairy Products","26200","22761",2,"52400","Bali"
"2023-06-01","ORD-SB-006","SB-GRO006","Monde Genji Strawberry Soft Pie 85gr","Snacks & Drinks","8700","7512",1,"8700","Jawa Barat"
"2023-06-01","ORD-SB-006","SB-GRO0058","Ladaku Merica Lada Bubuk isi 6 pcs Pepper","Condiments","7500","6512",1,"7500","Jawa Barat"
"2023-06-01","ORD-SB-006","SB-GRO0035","1 ctn - Indomie Kaldu Ayam 75 gr","Dry Food","135900","108712",1,"135900","Jawa Barat"
"2023-06-01","ORD-SB-006","SB-FRZ00138","Glico Wings Ice Cream Haku Tokyo Cheese Delight 110mL","Ice Cream","8800","6700",2,"17600","Jawa Barat"
"2023-06-01","ORD-SB-006","SB-GRO008","Tebs Tea With Soda Sparkling Mix Fruit Botol 500 ml","Snacks & Drinks","7600","6577",1,"7600","Jawa Barat"
"2023-06-01","ORD-SB-006","SB-FRS00102","Puck Keju Stik Processed Cheese Stick 6 pcs x 18 gram","Eggs & Dairy Products","65300","56771",2,"130600","Jawa Barat"
"2023-06-01","ORD-SB-007","SB-GRO007","Coca-Cola Original - Botol 1.5lt","Snacks & Drinks","10900","9401",1,"10900","Jakarta"
"2023-06-01","ORD-SB-007","SB-GRO0056","Dolpin Iodium Garam Dapur 250 gram","Condiments","4300","3712",2,"8600","Jakarta"
"2023-06-01","ORD-SB-007","SB-GRO0036","Nongshim Chapagetti 140 Gr","Dry Food","28500","20300",1,"28500","Jakarta"
"2023-06-01","ORD-SB-007","SB-FRZ00151","Chicken Nugget 250 gram","Frozen Food","31800","24400",2,"63600","Jakarta"
"2023-06-01","ORD-SB-007","SB-GRO0031","Indomie Goreng Original Mie Instan 85 gram","Dry Food","3100","2345",2,"6200","Jakarta"
"2023-06-01","ORD-SB-007","SB-FRS00103","Telur Bebek Mentah 4 pcs","Eggs & Dairy Products","18100","15661",2,"36200","Jakarta"
"2023-06-01","ORD-SB-008","SB-GRO008","Tebs Tea With Soda Sparkling Mix Fruit Botol 500 ml","Snacks & Drinks","7600","6577",1,"7600","Jawa Tengah"
"2023-06-01","ORD-SB-008","SB-GRO0055","TROPICAL MINYAK GORENG BOTOL 2 L","Sembako","32100","27861",2,"64200","Jawa Tengah"
"2023-06-01","ORD-SB-008","SB-GRO0037","San Remo Pasta Panne Original Gluten Free 350 gram","Dry Food","56500","40300",1,"56500","Jawa Tengah"
"2023-06-01","ORD-SB-008","SB-FRZ00152","Fish Nugget 300 gram","Frozen Food","46600","35800",2,"93200","Jawa Tengah"
"2023-06-01","ORD-SB-008","SB-GRO0051","Topi Koki Sentra Ramos Beras Putih 5 kg","Sembako","70700","61432",1,"70700","Jawa Tengah"
"2023-06-01","ORD-SB-008","SB-FRS00104","Telur Ayam Kampung Selenium isi 10 butir","Eggs & Dairy Products","38500","33451",2,"77000","Jawa Tengah"
"2023-06-01","ORD-SB-009","SB-GRO0010","Root Beer Can 330 ml","Snacks & Drinks","8800","7651",2,"17600","Jawa Timur"
"2023-06-01","ORD-SB-009","SB-GRO0053","Rose Brand Tebu Gula Pasir 1 kg","Sembako","14200","12300",2,"28400","Jawa Timur"
"2023-06-01","ORD-SB-009","SB-GRO0049","Minyak Goreng Kelapa Barco 2 L","Sembako","85700","61200",1,"85700","Jawa Timur"
"2023-06-01","ORD-SB-009","SB-FRZ00153","Crinkle Cut French Fries | Kentang Goreng Frozen (450 gr) ","Frozen Food","26800","20600",1,"26800","Jawa Timur"
"2023-06-01","ORD-SB-009","SB-FRS0086","Wortel Brastagi 1 kg","Vegetables","20400","17699",1,"20400","Jawa Timur"
"2023-06-01","ORD-SB-009","SB-FRS00108","Sari Roti Roti Tawar Pandan 370 gram","Bread and Bakery","16800","14550",2,"33600","Jawa Timur"
"2023-06-02","ORD-SB-0012","SB-GRO0014","Delfi Chacha Peanut Chocolate 40 gram","Snacks & Drinks","8700","7541",1,"8700","Bali"
"2023-06-02","ORD-SB-0012","SB-GRO0050","SANIA BERAS 5KG","Sembako","65300","56700",2,"130600","Bali"
"2023-06-02","ORD-SB-0012","SB-LIV00168","Rinso Molto Deterjen Bubuk Rose Fresh 770G","Household Supplies","31900","24500",2,"63800","Bali"
"2023-06-02","ORD-SB-0012","SB-FRS00101","Emina Keju Mozzarella 160 gram","Eggs & Dairy Products","26200","22761",2,"52400","Bali"
"2023-06-02","ORD-SB-0012","SB-FRS00111","5 Days Croissant Creamy Chocolate ","Bread and Bakery","6900","6000",1,"6900","Bali"
"2023-06-02","ORD-SB-0013","SB-GRO0015","Delfi Cokelat Hot Cocoa 3in1 isi 5 pcs x 25 gram","Snacks & Drinks","18200","15741",2,"36400","Jawa Barat"
"2023-06-02","ORD-SB-0013","SB-GRO005","Monde Serena Snack Gold 50gr","Snacks & Drinks","4000","3475",1,"4000","Jawa Barat"
"2023-06-02","ORD-SB-0013","SB-FRS0072","Melon Sakata Organik 1pcs ","Fruits ","61300","43716",1,"61300","Jawa Barat"
"2023-06-02","ORD-SB-0013","SB-LIV00181","PEPSODENT WHITE TOOTHPASTE PASTA GIGI PENCEGAH GIGI BERLUBANG 225G","Personal Care","18600","14300",1,"18600","Jawa Barat"
"2023-06-02","ORD-SB-0013","SB-FRS0079","Baby Caisim Hidroponik 200 gram","Vegetables","29300","25411",1,"29300","Jawa Barat"
"2023-06-02","ORD-SB-0013","SB-FRS00112","5 Days Croissant Mix Berries ","Bread and Bakery","6900","6000",1,"6900","Jawa Barat"
"2023-06-02","ORD-SB-0014","SB-GRO0016","ABC Saus Sambal Extra Pedas 380 g","Condiments","16100","12314",2,"32200","Bali"
"2023-06-02","ORD-SB-0014","SB-GRO0048","Sania Sawit Minyak Goreng Pouch 2 liter","Sembako","41800","32100",2,"83600","Bali"
"2023-06-02","ORD-SB-0014","SB-FRS0079","Baby Caisim Hidroponik 200 gram","Vegetables","29300","25411",2,"58600","Bali"
"2023-06-02","ORD-SB-0014","SB-LIV00182","Pepsodent Sikat Gigi Gentle Care Soft - 1Pc","Personal Care","11700","9000",1,"11700","Bali"
"2023-06-02","ORD-SB-0014","SB-LIV00190","Head & Shoulders Cool Menthol Shampoo 160 ml","Personal Care","37100","32200",1,"37100","Bali"
"2023-06-02","ORD-SB-0014","SB-FRS00113","Sari Roti Dorayaki Cokelat 55 gram","Bread and Bakery","6400","5500",1,"6400","Bali"
"2023-06-02","ORD-SB-0015","SB-GRO0017","ABC Saus Sambal Extra Pedas 275 ml","Condiments","14900","11412",2,"29800","Jawa Timur"
"2023-06-02","ORD-SB-0015","SB-GRO0047","Gulaku Tebu Gula Pasir 1 kg","Sembako","14600","11200",1,"14600","Jawa Timur"
"2023-06-02","ORD-SB-0015","SB-FRS0081","Sayur Romaine Lettuce Organik 250 Gram","Vegetables","14500","12541",1,"14500","Jawa Timur"
"2023-06-02","ORD-SB-0015","SB-LIV00183","Lifebuoy Sabun Mandi Cair Body Wash Cool Fresh Antibakteri 400Ml","Personal Care","25100","19260",2,"50200","Jawa Timur"
"2023-06-02","ORD-SB-0015","SB-FRS0097","Anchor Pure New Zealand Butter Minidish Unsalted 10 pcs x 7 gram","Eggs & Dairy Products","34200","29667",2,"68400","Jawa Timur"
"2023-06-02","ORD-SB-0015","SB-FRS00114","MyRoti Roti Pie Cheese 80 gram","Bread and Bakery","7800","6700",1,"7800","Jawa Timur"
"2023-06-02","ORD-SB-0016","SB-GRO0018","Bango Kecap Manis 135Ml","Condiments","13600","10412",1,"13600","Jawa Tengah"
"2023-06-02","ORD-SB-0016","SB-GRO0046","Sumo Merah Beras Putih 5 kg","Sembako","74600","57312",2,"149200","Jawa Tengah"
"2023-06-02","ORD-SB-0016","SB-FRS0085","Tomat Cherry Organik /250 g","Vegetables","27900","19871",1,"27900","Jawa Tengah"
"2023-06-02","ORD-SB-0016","SB-LIV00206","Baterai  AAA A3","Gadgets","22100","17000",2,"44200","Jawa Tengah"
"2023-06-02","ORD-SB-0016","SB-ALT00250","Makanan Kucing Kering rasa Tuna Dry 1.2 kg","Pet Care","74600","64800",2,"149200","Jawa Tengah"
"2023-06-02","ORD-SB-0016","SB-FRS00115","Jamur King Oyster 200g","Vegetables","20300","17600",1,"20300","Jawa Tengah"
"2023-06-02","ORD-SB-0017","SB-GRO0020","BUMBU RACIK INDOFOOD - BUMBU MASAK INSTAN - Sayur Sop","Condiments","2900","2480",2,"5800","Jawa Barat"
"2023-06-02","ORD-SB-0017","SB-GRO0045","Sasa Tepung Bumbu Serbaguna Original Fortified 210 gram","Condiments","7800","6700",2,"15600","Jawa Barat"
"2023-06-02","ORD-SB-0017","SB-FRS0095","Keju Bel Cheeze Dippers 140gr - The Laughing Cow Bel Cheez","Eggs & Dairy Products","65500","46771",1,"65500","Jawa Barat"
"2023-06-02","ORD-SB-0017","SB-LIV00207","Baterai  AA A2","Gadgets","24400","18700",2,"48800","Jawa Barat"
"2023-06-02","ORD-SB-0017","SB-FRS0061","Buah Naga Merah 1 kg","Fruits ","31900","24500",2,"63800","Jawa Barat"
"2023-06-02","ORD-SB-0017","SB-FRS00116","Ubi Cilembu /pack","Vegetables","23500","20400",1,"23500","Jawa Barat"
"2023-06-02","ORD-SB-0018","SB-GRO0021","BUMBU RACIK INDOFOOD - BUMBU MASAK INSTAN - Nasi Goreng","Condiments","2900","2480",2,"5800","Jawa Barat"
"2023-06-02","ORD-SB-0018","SB-GRO0044","Bogasari Segitiga Biru Premium Tepung Terigu 1 kg","Condiments","11800","10200",1,"11800","Jawa Barat"
"2023-06-02","ORD-SB-0018","SB-LIV00211","Tolak Angin Cair - Dus isi 5 Sachet","Health Products","26700","20500",1,"26700","Jawa Barat"
"2023-06-02","ORD-SB-0018","SB-LIV00194","Garnier Masker Wajah Light Complete 1pc","Personal Care","26800","23300",2,"53600","Jawa Barat"
"2023-06-02","ORD-SB-0018","SB-FRS00117","Jamur Shimeji Putih Natural 100g","Vegetables","16800","14566",2,"33600","Jawa Barat"
"2023-06-02","ORD-SB-0019","SB-GRO0022","Lemonilo Alamami Bumbu Masak Praktis Ayam Goreng Lengkuas 40g","Condiments","8700","7560",1,"8700","Jakarta"
"2023-06-02","ORD-SB-0019","SB-GRO0043","Pop Mie Mie Instan Baso Sapi Mini Cup 35 gram","Dry Food","4000","3400",2,"8000","Jakarta"
"2023-06-02","ORD-SB-0019","SB-FRS00100","Anchor Salted Butter 2kg - Mentega Asin New Zealand","Eggs & Dairy Products","433500","346771",1,"433500","Jakarta"
"2023-06-02","ORD-SB-0019","SB-LIV00212","cap lang minyak kayu putih 60 ml","Health Products","22100","17000",1,"22100","Jakarta"
"2023-06-02","ORD-SB-0019","SB-GRO0049","Minyak Goreng Kelapa Barco 2 L","Sembako","85700","61200",1,"85700","Jakarta"
"2023-06-02","ORD-SB-0019","SB-FRS00118","Semangka Merah Non Biji Fresh 4.5 - 5 Kg","Fruits ","65300","56700",2,"130600","Jakarta"
"2023-06-02","ORD-SB-0020","SB-GRO0023","BUMBU MASAK BAMBOE BULGOGI","Condiments","7800","6751",2,"15600","Bali"
"2023-06-02","ORD-SB-0020","SB-GRO0042","Pop Mie Rasa Ayam Bawang Jumbo","Dry Food","5200","4500",1,"5200","Bali"
"2023-06-02","ORD-SB-0020","SB-FRS00105","TELUR AYAM NEGRI 30 BUTIR/PACK","Eggs & Dairy Products","71300","56981",1,"71300","Bali"
"2023-06-02","ORD-SB-0020","SB-ALT00226","Marlboro Rokok Filter Special Edition Black 20'S","Adults Products","39000","30000",1,"39000","Bali"
"2023-06-02","ORD-SB-0020","SB-LIV00195","Garnier Bright Complete Anti Acne Bacterial Mask","Personal Care","28800","25000",2,"57600","Bali"
"2023-06-02","ORD-SB-0020","SB-FRS00119","Anggur Red Globe Fresh 250 gr ","Fruits ","25700","22345",1,"25700","Bali"
"2023-06-02","ORD-SB-0021","SB-GRO0025","Lemonilo Alamami Bumbu Masak Praktis Ayam Goreng Kremes 25g","Condiments","5000","4317",2,"10000","Bali"
"2023-06-02","ORD-SB-0021","SB-GRO0041","La Fonte Penne Ziti Rigate Pasta 450 gram","Dry Food","19000","16500",1,"19000","Bali"
"2023-06-02","ORD-SB-0021","SB-FRZ00124","Daging Has Paha Sapi Tanpa Lemak Lean 1 kg","Frozen Meat","138200","98700",1,"138200","Bali"
"2023-06-02","ORD-SB-0021","SB-ALT00227","Camel Rokok Filter Yellow 20'S","Adults Products","32500","25000",2,"65000","Bali"
"2023-06-02","ORD-SB-0021","SB-LIV00174","PASEO Kitchen Towel / Calorie Absorb 3in1","Household Supplies","37800","32800",1,"37800","Bali"
"2023-06-02","ORD-SB-0021","SB-FRS00120","Kaboca Orange Organik 1 kg","Fruits ","39600","34412",1,"39600","Bali"
"2023-06-03","ORD-SB-0022","SB-GRO0026","Bango Kecap Manis Pouch 735 ml - Unilever","Condiments","41000","35600",1,"41000","Bali"
"2023-06-03","ORD-SB-0022","SB-GRO0040","Mie Korea Gluten Free Ladang Lima 94gr - Instant Korean Noodle","Dry Food","8700","7500",1,"8700","Bali"
"2023-06-03","ORD-SB-0022","SB-FRZ00125","Beef Saikoro Wagyu Meltique Beef Cubes Premium (Qty. 500 gr)","Frozen Meat","121100","86500",1,"121100","Bali"
"2023-06-03","ORD-SB-0022","SB-ALT00241","Wet Food Makanan Kucing Basah - Tuna 80gr","Pet Care","8400","6400",1,"8400","Bali"
"2023-06-03","ORD-SB-0022","SB-LIV00191","Sunsilk Shampoo Black Shine 160ml","Personal Care","29400","25500",1,"29400","Bali"
"2023-06-03","ORD-SB-0022","SB-FRZ00124","Daging Has Paha Sapi Tanpa Lemak Lean 1 kg","Frozen Meat","138200","98700",1,"138200","Bali"
"2023-06-03","ORD-SB-0023","SB-GRO0028","Tropicana Slim Kecap Asin 200ml - Rendah Garam","Condiments","27000","23465",2,"54000","Jawa Tengah"
"2023-06-03","ORD-SB-0023","SB-GRO004","Pocky Biskuit Stik Almond 36 gram","Snacks & Drinks","7700","6678",2,"15400","Jawa Tengah"
"2023-06-03","ORD-SB-0023","SB-ALT00242","Wet Food Makanan Kucing Basah - Kitten Mackarel  80gr","Pet Care","8200","6290",2,"16400","Jawa Tengah"
"2023-06-03","ORD-SB-0023","SB-GRO0046","Sumo Merah Beras Putih 5 kg","Sembako","74600","57312",2,"149200","Jawa Tengah"
"2023-06-03","ORD-SB-0023","SB-FRZ00125","Beef Saikoro Wagyu Meltique Beef Cubes Premium (Qty. 500 gr)","Frozen Meat","121100","86500",1,"121100","Jawa Tengah"
"2023-06-03","ORD-SB-0024","SB-GRO0029","Sedaap Kecap Manis Kedelai Hitam Spesial 520 ml","Condiments","20200","17541",2,"40400","Jakarta"
"2023-06-03","ORD-SB-0024","SB-GRO0039","La Fonte Lasagna Sheets - 230 gram","Dry Food","21600","18700",2,"43200","Jakarta"
"2023-06-03","ORD-SB-0024","SB-FRZ00127","Sirloin Wagyu Meltique Beef Steak AUS (Qty. 1 kg)","Frozen Meat","203900","145600",1,"203900","Jakarta"
"2023-06-03","ORD-SB-0024","SB-ALT00243","Wet Dog Food Pouch All Variant Makanan Anjing Basah - PUP Beef 80gr","Pet Care","9000","6900",2,"18000","Jakarta"
"2023-06-03","ORD-SB-0024","SB-FRZ00155","Chicken Nugget Ayam Veggie 400 gr","Frozen Food","54800","47600",1,"54800","Jakarta"
"2023-06-03","ORD-SB-0025","SB-GRO0030","ABC Terasi Udang 20 x 3.8 g","Condiments","6300","5416",2,"12600","Bali"
"2023-06-03","ORD-SB-0025","SB-GRO0038","Cassava Pasta Mac and Cheese","Dry Food","27000","23400",1,"27000","Bali"
"2023-06-03","ORD-SB-0025","SB-GRO001","Pringles Cheesy Cheese Keripik 102gr","Snacks & Drinks","26000","20000",1,"26000","Bali"
"2023-06-03","ORD-SB-0025","SB-LIV00180","Mr. Muscle Clear Pembersih Kaca Original - 3.7 Liter","Household Supplies","39000","33872",2,"78000","Bali"
"2023-06-03","ORD-SB-0026","SB-GRO0031","Indomie Goreng Original Mie Instan 85 gram","Dry Food","3100","2345",2,"6200","Jawa Tengah"
"2023-06-03","ORD-SB-0026","SB-GRO0034","Indomie Japanese Miso Ramen","Dry Food","6300","5412",2,"12600","Jawa Tengah"
"2023-06-03","ORD-SB-0026","SB-GRO002","Qtela Kerupuk Keriting Original 180 gram","Snacks & Drinks","10300","7890",1,"10300","Jawa Tengah"
"2023-06-03","ORD-SB-0026","SB-GRO0038","Cassava Pasta Mac and Cheese","Dry Food","27000","23400",1,"27000","Jawa Tengah"
"2023-06-03","ORD-SB-0026","SB-FRZ00128","Daging Giling Sapi | Minced Ground Beef - REGULAR - 500 gr","Frozen Meat","55900","48600",2,"111800","Jawa Tengah"
"2023-06-03","ORD-SB-0027","SB-GRO0032","Indomie Rebus Soto Mie Instan 70 gram","Dry Food","3000","2243",2,"6000","Bali"
"2023-06-03","ORD-SB-0027","SB-GRO0033","Indomie Rebus Kari Ayam Mie Instan 72 gram","Dry Food","3000","2243",1,"3000","Bali"
"2023-06-03","ORD-SB-0027","SB-GRO003","Cereal SIMBA Choco Chips Bag 1 kg","Snacks & Drinks","46500","35764",2,"93000","Bali"
"2023-06-03","ORD-SB-0027","SB-FRS0081","Sayur Romaine Lettuce Organik 250 Gram","Vegetables","14500","12541",1,"14500","Bali"
"2023-06-03","ORD-SB-0027","SB-FRZ00129","Ikan Makarel / Ikan Salem Frozen 500 gram","Frozen Meat","23200","20100",1,"23200","Bali"
"2023-06-03","ORD-SB-0028","SB-GRO0033","Indomie Rebus Kari Ayam Mie Instan 72 gram","Dry Food","3000","2243",1,"3000","Jawa Barat"
"2023-06-03","ORD-SB-0028","SB-GRO0032","Indomie Rebus Soto Mie Instan 70 gram","Dry Food","3000","2243",1,"3000","Jawa Barat"
"2023-06-03","ORD-SB-0028","SB-FRZ00158","Tahu Baso Besar Semarang 12pcs","Frozen Food","53800","43000",1,"53800","Jawa Barat"
"2023-06-03","ORD-SB-0028","SB-GRO0016","ABC Saus Sambal Extra Pedas 380 g","Condiments","16100","12314",1,"16100","Jawa Barat"
"2023-06-03","ORD-SB-0028","SB-FRS0068","Buah Semangka Potong 350 gram Sayurbox","Fruits ","14400","12450",2,"28800","Jawa Barat"
"2023-06-03","ORD-SB-0028","SB-FRZ00130","Ikan Tilapia / Ikan Nilla Daging Perut 500 gr","Frozen Meat","27100","23500",1,"27100","Jawa Barat"
"2023-06-03","ORD-SB-0029","SB-GRO0034","Indomie Japanese Miso Ramen","Dry Food","6300","5412",1,"6300","Jakarta"
"2023-06-03","ORD-SB-0029","SB-GRO0031","Indomie Goreng Original Mie Instan 85 gram","Dry Food","3100","2345",1,"3100","Jakarta"
"2023-06-03","ORD-SB-0029","SB-FRZ00164","Donat Kentang Susu Frozen Food 10pcs","Frozen Food","28900","23100",1,"28900","Jakarta"
"2023-06-03","ORD-SB-0029","SB-GRO0017","ABC Saus Sambal Extra Pedas 275 ml","Condiments","14900","11412",2,"29800","Jakarta"
"2023-06-03","ORD-SB-0029","SB-LIV00216","Nuvo Hand Sanitizer Spray Fresh Blossom 85 ml","Health Products","10100","8700",1,"10100","Jakarta"
"2023-06-03","ORD-SB-0029","SB-FRZ00131","Cumi Flower / Kembang / Nanas Kupas Bersih | Flower-cut Squid - 500 gr","Frozen Meat","32200","28000",1,"32200","Jakarta"
"2023-06-03","ORD-SB-0030","SB-GRO0038","Cassava Pasta Mac and Cheese","Dry Food","27000","23400",2,"54000","Jawa Timur"
"2023-06-03","ORD-SB-0030","SB-GRO0030","ABC Terasi Udang 20 x 3.8 g","Condiments","6300","5416",1,"6300","Jawa Timur"
"2023-06-03","ORD-SB-0030","SB-LIV00177","Green Tea 2x 550ml Air Disinfectant Spray ","Household Supplies","83400","66700",1,"83400","Jawa Timur"
"2023-06-03","ORD-SB-0030","SB-GRO0018","Bango Kecap Manis 135Ml","Condiments","13600","10412",1,"13600","Jawa Timur"
"2023-06-03","ORD-SB-0030","SB-FRS0074","Pear Packham 1 kg","Fruits ","34000","29561",2,"68000","Jawa Timur"
"2023-06-03","ORD-SB-0030","SB-FRZ00132","Cumi Ring / Squid Calamari Ring / Cumi Cincin - 500 gram","Frozen Meat","31800","27600",1,"31800","Jawa Timur"
"2023-06-03","ORD-SB-0031","SB-GRO0039","La Fonte Lasagna Sheets - 230 gram","Dry Food","21600","18700",1,"21600","Jakarta"
"2023-06-03","ORD-SB-0031","SB-GRO003","Cereal SIMBA Choco Chips Bag 1 kg","Snacks & Drinks","46500","35764",2,"93000","Jakarta"
"2023-06-03","ORD-SB-0031","SB-LIV00179","Daia Hijab Deterjen Bubuk Clean & Fresh 2.7 kg","Household Supplies","54400","43500",1,"54400","Jakarta"
"2023-06-03","ORD-SB-0031","SB-GRO0031","Indomie Goreng Original Mie Instan 85 gram","Dry Food","3100","2345",1,"3100","Jakarta"
"2023-06-03","ORD-SB-0031","SB-GRO0020","BUMBU RACIK INDOFOOD - BUMBU MASAK INSTAN - Sayur Sop","Condiments","2900","2480",1,"2900","Jakarta"
"2023-06-03","ORD-SB-0031","SB-FRZ00133","Daging Hati Sapi | Beef Liver 500 gram","Frozen Meat","23200","20100",1,"23200","Jakarta"
"2023-06-03","ORD-SB-0032","SB-GRO0040","Mie Korea Gluten Free Ladang Lima 94gr - Instant Korean Noodle","Dry Food","8700","7500",2,"17400","Jawa Tengah"
"2023-06-03","ORD-SB-0032","SB-GRO0029","Sedaap Kecap Manis Kedelai Hitam Spesial 520 ml","Condiments","20200","17541",1,"20200","Jawa Tengah"
