Order_Date,Order_ID,Cust_ID,Order_Total,Item Quantity,Delivery_ID,Payment_ID,Status
2023-06-04,ORD-SB-0036,SD-USR10036,451200,10,DEL-SB05,PAY-SD02,Delivered
2023-06-04,ORD-SB-0037,SD-USR10037,112100,8,DEL-SB06,PAY-SD04,Delivered
2023-06-04,ORD-SB-0038,SD-USR10038,256700,10,DEL-SB05,PAY-SD06,Delivered
2023-06-04,ORD-SB-0039,SD-USR10039,79000,6,DEL-SB02,PAY-SD06,Delivered
2023-06-04,ORD-SB-0040,SD-USR10040,139700,7,DEL-SB02,PAY-SD05,Delivered
2023-06-04,ORD-SB-0041,SD-USR10041,149000,7,DEL-SB01,PAY-SD06,Delivered
2023-06-04,ORD-SB-0042,SD-USR10042,173000,6,DEL-SB03,PAY-SD05,Delivered
2023-06-04,ORD-SB-0043,SD-USR10043,448200,8,DEL-SB06,PAY-SD01,Delivered
2023-06-04,ORD-SB-0044,SD-USR10044,214400,7,DEL-SB01,PAY-SD06,Delivered
2023-06-05,ORD-SB-0045,SD-USR10045,294400,8,DEL-SB06,PAY-SD04,Delivered
2023-06-05,ORD-SB-0046,SD-USR10046,276800,6,DEL-SB02,PAY-SD06,Delivered
2023-06-05,ORD-SB-0047,SD-USR10047,349200,6,DEL-SB03,PAY-SD03,Delivered
2023-06-05,ORD-SB-0048,SD-USR10048,436300,9,DEL-SB05,PAY-SD01,Delivered
2023-06-05,ORD-SB-0049,SD-USR10049,203400,5,DEL-SB01,PAY-SD06,Delivered
2023-06-05,ORD-SB-0050,SD-USR10050,424650,7,DEL-SB01,PAY-SD01,Delivered
2023-06-05,ORD-SB-0051,SD-USR10051,204000,6,DEL-SB03,PAY-SD07,Delivered
2023-06-05,ORD-SB-0052,SD-USR10052,211800,7,DEL-SB01,PAY-SD07,Delivered
2023-06-05,ORD-SB-0053,SD-USR10053,201600,7,DEL-SB01,PAY-SD04,Delivered
2023-06-05,ORD-SB-0054,SD-USR10054,294000,8,DEL-SB04,PAY-SD06,Delivered
2023-06-05,ORD-SB-0055,SD-USR10055,296100,9,DEL-SB05,PAY-SD06,Delivered
2023-06-06,ORD-SB-0056,SD-USR10056,176300,6,DEL-SB03,PAY-SD04,Delivered
2023-06-06,ORD-SB-0057,SD-USR10057,133400,8,DEL-SB04,PAY-SD07,Delivered
2023-06-06,ORD-SB-0058,SD-USR10058,184600,7,DEL-SB03,PAY-SD06,Delivered
2023-06-06,ORD-SB-0059,SD-USR10059,196600,6,DEL-SB01,PAY-SD06,Delivered
2023-06-06,ORD-SB-0060,SD-USR10060,312600,11,DEL-SB05,PAY-SD01,Delivered
2023-06-06,ORD-SB-0061,SD-USR10061,647400,8,DEL-SB05,PAY-SD01,Delivered
2023-06-06,ORD-SB-0062,SD-USR10062,298700,9,DEL-SB05,PAY-SD07,Delivered
2023-06-06,ORD-SB-0063,SD-USR10063,248000,8,DEL-SB06,PAY-SD06,Delivered
2023-06-06,ORD-SB-0064,SD-USR10064,265100,10,DEL-SB06,PAY-SD07,Delivered
2023-06-06,ORD-SB-0065,SD-USR10065,337300,9,DEL-SB05,PAY-SD02,Delivered
2023-06-07,ORD-SB-0066,SD-USR10066,182300,10,DEL-SB06,PAY-SD04,Delivered
2023-06-07,ORD-SB-0067,SD-USR10067,408600,8,DEL-SB06,PAY-SD03,Delivered
2023-06-07,ORD-SB-0068,SD-USR10068,364000,9,DEL-SB05,PAY-SD01,Delivered
2023-06-07,ORD-SB-0069,SD-USR10069,189200,10,DEL-SB05,PAY-SD06,Delivered
2023-06-07,ORD-SB-0070,SD-USR10070,197000,9,DEL-SB05,PAY-SD07,Delivered
2023-06-07,ORD-SB-0071,SD-USR10071,302600,11,DEL-SB06,PAY-SD01,Delivered
2023-06-07,ORD-SB-0072,SD-USR10072,202100,8,DEL-SB04,PAY-SD07,Delivered
2023-06-07,ORD-SB-0073,SD-USR10073,433500,9,DEL-SB05,PAY-SD01,Delivered
2023-06-07,ORD-SB-0074,SD-USR10074,206200,10,DEL-SB06,PAY-SD06,Delivered
2023-06-07,ORD-SB-0075,SD-USR10075,261500,11,DEL-SB04,PAY-SD06,Delivered
2023-06-07,ORD-SB-0076,SD-USR10076,433500,10,DEL-SB06,PAY-SD01,Delivered
2023-06-08,ORD-SB-0077,SD-USR10077,290000,9,DEL-SB06,PAY-SD07,Delivered
2023-06-08,ORD-SB-0078,SD-USR10078,339300,10,DEL-SB04,PAY-SD02,Delivered
2023-06-08,ORD-SB-0079,SD-USR10079,290500,10,DEL-SB05,PAY-SD04,Delivered
2023-06-08,ORD-SB-0080,SD-USR10080,143400,8,DEL-SB04,PAY-SD07,Delivered
2023-06-08,ORD-SB-0081,SD-USR10081,325500,10,DEL-SB06,PAY-SD01,Delivered
2023-06-08,ORD-SB-0082,SD-USR10082,347500,12,DEL-SB04,PAY-SD01,Delivered
2023-06-08,ORD-SB-0083,SD-USR10083,407200,9,DEL-SB04,PAY-SD01,Delivered
2023-06-08,ORD-SB-0084,SD-USR10084,156200,7,DEL-SB02,PAY-SD07,Delivered
2023-06-08,ORD-SB-0085,SD-USR10085,472700,9,DEL-SB06,PAY-SD03,Delivered
2023-06-08,ORD-SB-0086,SD-USR10086,220700,7,DEL-SB02,PAY-SD04,Delivered
2023-06-08,ORD-SB-0087,SD-USR10087,175100,6,DEL-SB03,PAY-SD04,Delivered
2023-06-08,ORD-SB-0088,SD-USR10088,136500,6,DEL-SB02,PAY-SD05,Delivered
2023-06-09,ORD-SB-0089,SD-USR10089,322800,8,DEL-SB06,PAY-SD01,Delivered
2023-06-09,ORD-SB-0090,SD-USR10090,334200,8,DEL-SB05,PAY-SD03,Delivered
2023-06-09,ORD-SB-0091,SD-USR10091,170500,7,DEL-SB03,PAY-SD07,Delivered
2023-06-09,ORD-SB-0092,SD-USR10092,215600,8,DEL-SB05,PAY-SD04,Delivered
2023-06-09,ORD-SB-0093,SD-USR10093,128400,8,DEL-SB05,PAY-SD07,Delivered
2023-06-09,ORD-SB-0094,SD-USR10050,147100,8,DEL-SB05,PAY-SD07,Delivered
2023-06-09,ORD-SB-0095,SD-USR10055,145400,6,DEL-SB01,PAY-SD04,Delivered
2023-06-09,ORD-SB-0096,SD-USR10058,146200,7,DEL-SB02,PAY-SD07,Delivered
2023-06-09,ORD-SB-0097,SD-USR1001,273300,7,DEL-SB03,PAY-SD05,Delivered
2023-06-09,ORD-SB-0098,SD-USR10091,380900,7,DEL-SB01,PAY-SD01,Delivered
2023-06-09,ORD-SB-0099,SD-USR10054,125000,4,DEL-SB02,PAY-SD06,Delivered
2023-06-10,ORD-SB-00100,SD-USR10069,108000,5,DEL-SB01,PAY-SD05,Delivered
2023-06-10,ORD-SB-00101,SD-USR10026,321500,7,DEL-SB02,PAY-SD03,Delivered
2023-06-10,ORD-SB-00102,SD-USR10076,208700,6,DEL-SB01,PAY-SD07,Delivered
2023-06-10,ORD-SB-00103,SD-USR10016,228800,7,DEL-SB02,PAY-SD07,Delivered
2023-06-10,ORD-SB-00104,SD-USR10092,335800,7,DEL-SB03,PAY-SD01,Delivered
2023-06-10,ORD-SB-00105,SD-USR10035,131700,7,DEL-SB02,PAY-SD05,Delivered
2023-06-10,ORD-SB-00106,SD-USR10032,259100,8,DEL-SB05,PAY-SD06,Delivered
2023-06-10,ORD-SB-00107,SD-USR10071,193000,7,DEL-SB02,PAY-SD06,Delivered
2023-06-10,ORD-SB-00108,SD-USR10023,187300,6,DEL-SB02,PAY-SD07,Delivered
2023-06-10,ORD-SB-00109,SD-USR10067,156300,5,DEL-SB02,PAY-SD07,Delivered
2023-06-11,ORD-SB-00110,SD-USR10078,228700,7,DEL-SB03,PAY-SD06,Delivered
2023-06-11,ORD-SB-00111,SD-USR10093,125300,7,DEL-SB01,PAY-SD07,Delivered
2023-06-11,ORD-SB-00112,SD-USR10061,100200,6,DEL-SB01,PAY-SD04,Delivered
2023-06-11,ORD-SB-00113,SD-USR10083,226100,7,DEL-SB01,PAY-SD07,Delivered
2023-06-11,ORD-SB-00114,SD-USR1008,291850,6,DEL-SB02,PAY-SD06,Delivered
2023-06-11,ORD-SB-00115,SD-USR10048,281200,8,DEL-SB05,PAY-SD06,Delivered
2023-06-11,ORD-SB-00116,SD-USR10020,239500,7,DEL-SB01,PAY-SD06,Delivered
2023-06-11,ORD-SB-00117,SD-USR10082,386900,8,DEL-SB06,PAY-SD03,Delivered
2023-06-11,ORD-SB-00118,SD-USR10047,357500,9,DEL-SB05,PAY-SD03,Delivered
2023-06-11,ORD-SB-00119,SD-USR10046,230500,6,DEL-SB01,PAY-SD05,Delivered
2023-06-11,ORD-SB-00120,SD-USR10021,305700,7,DEL-SB01,PAY-SD01,Delivered
2023-06-12,ORD-SB-00121,SD-USR1005,108900,6,DEL-SB01,PAY-SD05,Delivered
2023-06-12,ORD-SB-00122,SD-USR10014,235300,8,DEL-SB04,PAY-SD05,Delivered
2023-06-12,ORD-SB-00123,SD-USR10033,291300,7,DEL-SB01,PAY-SD04,Delivered
2023-06-12,ORD-SB-00124,SD-USR10089,57600,6,DEL-SB03,PAY-SD06,Delivered
2023-06-12,ORD-SB-00125,SD-USR10041,159300,7,DEL-SB01,PAY-SD06,Delivered
2023-06-12,ORD-SB-00126,SD-USR10038,286800,6,DEL-SB02,PAY-SD04,Delivered
2023-06-12,ORD-SB-00127,SD-USR10022,285200,8,DEL-SB05,PAY-SD04,Delivered
2023-06-12,ORD-SB-00128,SD-USR10077,219200,7,DEL-SB03,PAY-SD04,Delivered
2023-06-12,ORD-SB-00129,SD-USR10025,156300,8,DEL-SB05,PAY-SD06,Delivered
2023-06-12,ORD-SB-00130,SD-USR10037,289400,6,DEL-SB02,PAY-SD06,Delivered
2023-06-12,ORD-SB-00131,SD-USR10065,261300,7,DEL-SB01,PAY-SD05,Delivered
2023-06-12,ORD-SB-00132,SD-USR10012,268600,8,DEL-SB06,PAY-SD06,Delivered
2023-06-13,ORD-SB-00133,SD-USR10027,208400,8,DEL-SB06,PAY-SD07,Delivered
2023-06-13,ORD-SB-00134,SD-USR10010,180400,7,DEL-SB01,PAY-SD04,Delivered
2023-06-13,ORD-SB-00135,SD-USR10079,221300,7,DEL-SB03,PAY-SD04,Delivered
2023-06-13,ORD-SB-00136,SD-USR10015,155900,6,DEL-SB02,PAY-SD07,Delivered
2023-06-13,ORD-SB-00137,SD-USR10087,130000,5,DEL-SB02,PAY-SD06,Delivered
2023-06-13,ORD-SB-00138,SD-USR1003,94000,5,DEL-SB03,PAY-SD04,Delivered
2023-06-13,ORD-SB-00139,SD-USR10064,182300,5,DEL-SB03,PAY-SD05,Delivered
2023-06-13,ORD-SB-00140,SD-USR10060,295400,6,DEL-SB03,PAY-SD06,Delivered
2023-06-13,ORD-SB-00141,SD-USR10081,64300,5,DEL-SB02,PAY-SD07,Delivered
2023-06-13,ORD-SB-00142,SD-USR10068,258400,7,DEL-SB02,PAY-SD04,Delivered
2023-06-13,ORD-SB-00143,SD-USR10030,208300,5,DEL-SB03,PAY-SD05,Delivered
2023-06-14,ORD-SB-00144,SD-USR10053,23900,3,DEL-SB02,PAY-SD04,Delivered
2023-06-14,ORD-SB-00145,SD-USR10044,148400,4,DEL-SB03,PAY-SD06,Delivered
2023-06-14,ORD-SB-00146,SD-USR10049,93300,4,DEL-SB01,PAY-SD06,Delivered
2023-06-14,ORD-SB-00147,SD-USR10074,151600,4,DEL-SB03,PAY-SD04,Delivered
2023-06-14,ORD-SB-00148,SD-USR10072,119300,5,DEL-SB01,PAY-SD07,Delivered
2023-06-14,ORD-SB-00149,SD-USR10040,89900,4,DEL-SB03,PAY-SD07,Delivered
2023-06-14,ORD-SB-00150,SD-USR1009,23600,2,DEL-SB03,PAY-SD05,Delivered
2023-06-14,ORD-SB-00151,SD-USR10051,141700,5,DEL-SB01,PAY-SD04,Delivered
2023-06-14,ORD-SB-00152,SD-USR10063,468900,4,DEL-SB01,PAY-SD03,Delivered
2023-06-14,ORD-SB-00153,SD-USR10013,77500,2,DEL-SB03,PAY-SD04,Delivered
2023-06-15,ORD-SB-00154,SD-USR10018,14500,3,DEL-SB02,PAY-SD06,Delivered
2023-06-15,ORD-SB-00155,SD-USR10070,64600,2,DEL-SB01,PAY-SD04,Delivered
2023-06-15,ORD-SB-00156,SD-USR10085,21000,3,DEL-SB01,PAY-SD07,Delivered
2023-06-15,ORD-SB-00157,SD-USR1006,24400,3,DEL-SB03,PAY-SD05,Delivered
2023-06-15,ORD-SB-00158,SD-USR10039,70400,2,DEL-SB02,PAY-SD04,Delivered
2023-06-15,ORD-SB-00159,SD-USR10084,37400,3,DEL-SB02,PAY-SD04,Delivered
2023-06-15,ORD-SB-00160,SD-USR10062,166800,4,DEL-SB01,PAY-SD05,Delivered
2023-06-15,ORD-SB-00161,SD-USR10034,21900,3,DEL-SB02,PAY-SD06,Delivered
2023-06-15,ORD-SB-00162,SD-USR10043,26700,3,DEL-SB02,PAY-SD07,Delivered
2023-06-15,ORD-SB-00163,SD-USR10042,19100,2,DEL-SB03,PAY-SD07,Delivered
2023-06-15,ORD-SB-00164,SD-USR10080,13300,2,DEL-SB01,PAY-SD06,Delivered
2023-06-16,ORD-SB-00165,SD-USR10028,44800,4,DEL-SB01,PAY-SD05,Delivered
2023-06-16,ORD-SB-00166,SD-USR10073,55400,3,DEL-SB02,PAY-SD04,Delivered
2023-06-16,ORD-SB-00167,SD-USR10011,42000,2,DEL-SB02,PAY-SD06,Delivered
2023-06-16,ORD-SB-00168,SD-USR10017,41300,3,DEL-SB01,PAY-SD05,Delivered
2023-06-16,ORD-SB-00169,SD-USR1002,29400,3,DEL-SB01,PAY-SD06,Delivered
2023-06-16,ORD-SB-00170,SD-USR10019,34000,3,DEL-SB03,PAY-SD07,Delivered
2023-06-16,ORD-SB-00171,SD-USR1004,71200,4,DEL-SB03,PAY-SD06,Delivered
2023-06-16,ORD-SB-00172,SD-USR10056,64200,4,DEL-SB03,PAY-SD05,Delivered
2023-06-16,ORD-SB-00173,SD-USR10066,38500,3,DEL-SB02,PAY-SD07,Delivered
2023-06-16,ORD-SB-00174,SD-USR10090,281600,4,DEL-SB02,PAY-SD07,Delivered
2023-06-16,ORD-SB-00175,SD-USR10024,30200,3,DEL-SB03,PAY-SD04,Delivered
2023-06-16,ORD-SB-00176,SD-USR10075,114400,3,DEL-SB03,PAY-SD06,Delivered
2023-06-17,ORD-SB-00177,SD-USR10031,148900,3,DEL-SB01,PAY-SD06,Delivered
2023-06-17,ORD-SB-00178,SD-USR10086,85300,2,DEL-SB01,PAY-SD05,Delivered
2023-06-17,ORD-SB-00179,SD-USR10057,83800,3,DEL-SB01,PAY-SD06,Delivered
2023-06-17,ORD-SB-00180,SD-USR10059,45800,4,DEL-SB03,PAY-SD06,Delivered
2023-06-17,ORD-SB-00181,SD-USR10036,85700,3,DEL-SB02,PAY-SD05,Delivered
2023-06-17,ORD-SB-00182,SD-USR1007,26800,3,DEL-SB02,PAY-SD04,Delivered
2023-06-17,ORD-SB-00183,SD-USR10088,16200,2,DEL-SB01,PAY-SD07,Delivered
2023-06-17,ORD-SB-00184,SD-USR10052,29600,3,DEL-SB01,PAY-SD06,Delivered
2023-06-17,ORD-SB-00185,SD-USR10029,22200,3,DEL-SB01,PAY-SD07,Delivered
2023-06-17,ORD-SB-00186,SD-USR10045,71500,2,DEL-SB03,PAY-SD04,Delivered
2023-06-17,ORD-SB-00187,SD-USR10087,223000,4,DEL-SB02,PAY-SD04,Delivered
2023-06-18,ORD-SB-00188,SD-USR10015,90200,3,DEL-SB01,PAY-SD07,Delivered
2023-06-18,ORD-SB-00189,SD-USR10079,38500,2,DEL-SB03,PAY-SD07,Delivered
2023-06-18,ORD-SB-00190,SD-USR10010,22500,3,DEL-SB01,PAY-SD04,Delivered
2023-06-18,ORD-SB-00191,SD-USR10027,50600,3,DEL-SB02,PAY-SD04,Delivered
2023-06-18,ORD-SB-00192,SD-USR10012,93200,4,DEL-SB03,PAY-SD05,Delivered
2023-06-18,ORD-SB-00193,SD-USR10065,82800,4,DEL-SB01,PAY-SD07,Delivered
2023-06-18,ORD-SB-00194,SD-USR10037,127000,4,DEL-SB03,PAY-SD05,Delivered
2023-06-18,ORD-SB-00195,SD-USR10025,22400,3,DEL-SB01,PAY-SD07,Delivered
2023-06-18,ORD-SB-00196,SD-USR10077,60200,3,DEL-SB03,PAY-SD07,Delivered
2023-06-18,ORD-SB-00197,SD-USR10022,106500,3,DEL-SB03,PAY-SD05,Delivered
2023-06-19,ORD-SB-00198,SD-USR10038,75000,3,DEL-SB03,PAY-SD07,Delivered
2023-06-19,ORD-SB-00199,SD-USR10041,157400,4,DEL-SB03,PAY-SD06,Delivered
2023-06-19,ORD-SB-00200,SD-USR10089,40500,2,DEL-SB03,PAY-SD06,Delivered
2023-06-19,ORD-SB-00201,SD-USR10033,9200,2,DEL-SB03,PAY-SD05,Delivered
2023-06-19,ORD-SB-00202,SD-USR10014,35700,2,DEL-SB03,PAY-SD07,Delivered
2023-06-19,ORD-SB-00203,SD-USR1005,50600,4,DEL-SB03,PAY-SD05,Delivered
2023-06-19,ORD-SB-00204,SD-USR10021,50800,3,DEL-SB01,PAY-SD07,Delivered
2023-06-19,ORD-SB-00205,SD-USR10046,62600,3,DEL-SB02,PAY-SD06,Delivered
2023-06-19,ORD-SB-00206,SD-USR10047,43400,2,DEL-SB02,PAY-SD04,Delivered
2023-06-19,ORD-SB-00207,SD-USR10082,58100,3,DEL-SB03,PAY-SD04,Delivered
2023-06-19,ORD-SB-00208,SD-USR10020,16200,3,DEL-SB02,PAY-SD07,Delivered
2023-06-20,ORD-SB-00209,SD-USR10048,52000,4,DEL-SB02,PAY-SD05,Delivered
2023-06-20,ORD-SB-00210,SD-USR1008,29200,3,DEL-SB03,PAY-SD05,Delivered
2023-06-20,ORD-SB-00211,SD-USR10083,64000,2,DEL-SB01,PAY-SD07,Delivered
2023-06-20,ORD-SB-00212,SD-USR10061,23900,2,DEL-SB02,PAY-SD05,Delivered
2023-06-20,ORD-SB-00213,SD-USR10093,74400,2,DEL-SB03,PAY-SD04,Delivered
2023-06-20,ORD-SB-00214,SD-USR10078,157000,4,DEL-SB02,PAY-SD07,Delivered
2023-06-20,ORD-SB-00215,SD-USR10067,22000,3,DEL-SB01,PAY-SD07,Delivered
2023-06-20,ORD-SB-00216,SD-USR10023,87400,3,DEL-SB03,PAY-SD06,Delivered
2023-06-20,ORD-SB-00217,SD-USR10071,77200,3,DEL-SB01,PAY-SD05,Delivered
2023-06-20,ORD-SB-00218,SD-USR10032,162000,4,DEL-SB01,PAY-SD07,Delivered
2023-06-20,ORD-SB-00219,SD-USR10035,98900,3,DEL-SB01,PAY-SD06,Delivered
2023-06-20,ORD-SB-00220,SD-USR10092,92300,3,DEL-SB03,PAY-SD04,Delivered
2023-06-21,ORD-SB-00221,SD-USR10016,106800,4,DEL-SB03,PAY-SD04,Delivered
2023-06-21,ORD-SB-00222,SD-USR10076,29100,3,DEL-SB02,PAY-SD06,Delivered
2023-06-21,ORD-SB-00223,SD-USR10026,50100,3,DEL-SB01,PAY-SD05,Delivered
2023-06-21,ORD-SB-00224,SD-USR10069,47400,4,DEL-SB02,PAY-SD06,Delivered
2023-06-21,ORD-SB-00225,SD-USR10054,20400,3,DEL-SB01,PAY-SD05,Delivered
2023-06-21,ORD-SB-00226,SD-USR10091,50100,3,DEL-SB01,PAY-SD04,Delivered
2023-06-21,ORD-SB-00227,SD-USR1001,19600,4,DEL-SB02,PAY-SD05,Delivered
2023-06-21,ORD-SB-00228,SD-USR10058,66200,4,DEL-SB02,PAY-SD06,Delivered
2023-06-21,ORD-SB-00229,SD-USR10055,243600,3,DEL-SB03,PAY-SD04,Delivered
2023-06-21,ORD-SB-00230,SD-USR10050,42400,3,DEL-SB02,PAY-SD05,Delivered
2023-06-21,ORD-SB-00231,SD-USR10045,105000,3,DEL-SB02,PAY-SD05,Delivered
2023-06-22,ORD-SB-00232,SD-USR10029,151800,4,DEL-SB01,PAY-SD07,Delivered
2023-06-22,ORD-SB-00233,SD-USR10052,22600,2,DEL-SB02,PAY-SD04,Delivered
2023-06-22,ORD-SB-00234,SD-USR10088,158300,3,DEL-SB01,PAY-SD04,Delivered
2023-06-22,ORD-SB-00235,SD-USR1007,78400,3,DEL-SB03,PAY-SD07,Delivered
2023-06-22,ORD-SB-00236,SD-USR10036,52400,3,DEL-SB01,PAY-SD05,Delivered
2023-06-22,ORD-SB-00237,SD-USR10059,99300,2,DEL-SB02,PAY-SD05,Delivered
2023-06-22,ORD-SB-00238,SD-USR10057,93600,3,DEL-SB03,PAY-SD06,Delivered
2023-06-22,ORD-SB-00239,SD-USR10086,158800,3,DEL-SB02,PAY-SD06,Delivered
2023-06-22,ORD-SB-00240,SD-USR10031,192400,4,DEL-SB02,PAY-SD07,Delivered
2023-06-22,ORD-SB-00241,SD-USR10075,77400,3,DEL-SB03,PAY-SD07,Delivered
2023-06-23,ORD-SB-00242,SD-USR10024,50300,2,DEL-SB03,PAY-SD07,Delivered
2023-06-23,ORD-SB-00243,SD-USR10090,82600,3,DEL-SB01,PAY-SD07,Delivered
2023-06-23,ORD-SB-00244,SD-USR10066,146000,4,DEL-SB03,PAY-SD05,Delivered
2023-06-23,ORD-SB-00245,SD-USR10056,64000,2,DEL-SB02,PAY-SD04,Delivered
2023-06-23,ORD-SB-00246,SD-USR1004,190200,4,DEL-SB02,PAY-SD05,Delivered
2023-06-23,ORD-SB-00247,SD-USR10019,95900,3,DEL-SB01,PAY-SD04,Delivered
2023-06-23,ORD-SB-00248,SD-USR1002,141000,4,DEL-SB01,PAY-SD04,Delivered
2023-06-23,ORD-SB-00249,SD-USR10056,49900,3,DEL-SB01,PAY-SD06,Delivered
2023-06-23,ORD-SB-00250,SD-USR10050,64600,4,DEL-SB01,PAY-SD06,Delivered
2023-06-23,ORD-SB-00251,SD-USR10032,52200,4,DEL-SB01,PAY-SD06,Delivered
2023-06-23,ORD-SB-00252,SD-USR10014,42500,3,DEL-SB01,PAY-SD07,Delivered
2023-06-24,ORD-SB-00253,SD-USR10059,30400,3,DEL-SB01,PAY-SD06,Delivered
2023-06-24,ORD-SB-00254,SD-USR10017,60200,2,DEL-SB01,PAY-SD04,Delivered
2023-06-24,ORD-SB-00255,SD-USR10021,86400,3,DEL-SB03,PAY-SD05,Delivered
2023-06-25,ORD-SB-00256,SD-USR10061,59600,3,DEL-SB01,PAY-SD04,Delivered
2023-06-25,ORD-SB-00257,SD-USR10038,29300,2,DEL-SB03,PAY-SD05,Delivered
2023-06-25,ORD-SB-00258,SD-USR10075,97400,4,DEL-SB01,PAY-SD07,Delivered
2023-06-25,ORD-SB-00259,SD-USR10024,21300,3,DEL-SB03,PAY-SD04,Delivered
2023-06-26,ORD-SB-00260,SD-USR10049,67700,2,DEL-SB01,PAY-SD04,Delivered
2023-06-26,ORD-SB-00261,SD-USR10066,131000,4,DEL-SB03,PAY-SD04,Delivered
2023-06-26,ORD-SB-00262,SD-USR10087,99600,4,DEL-SB03,PAY-SD04,Delivered
2023-06-26,ORD-SB-00263,SD-USR10089,68000,3,DEL-SB03,PAY-SD04,Delivered
2023-06-26,ORD-SB-00264,SD-USR10093,81300,2,DEL-SB03,PAY-SD05,Delivered
2023-06-27,ORD-SB-00265,SD-USR10036,117200,4,DEL-SB03,PAY-SD07,Delivered
2023-06-27,ORD-SB-00266,SD-USR10062,137500,3,DEL-SB02,PAY-SD06,Delivered
2023-06-27,ORD-SB-00267,SD-USR10057,114600,3,DEL-SB03,PAY-SD06,Delivered
2023-06-27,ORD-SB-00268,SD-USR10085,61600,3,DEL-SB03,PAY-SD05,Delivered
2023-06-27,ORD-SB-00269,SD-USR10070,61700,3,DEL-SB01,PAY-SD05,Delivered
2023-06-28,ORD-SB-00270,SD-USR10026,192200,4,DEL-SB02,PAY-SD07,Delivered
2023-06-28,ORD-SB-00271,SD-USR10055,51100,3,DEL-SB03,PAY-SD05,Delivered
2023-06-28,ORD-SB-00272,SD-USR10054,34900,3,DEL-SB02,PAY-SD04,Delivered
